timestamp,task_id,tool,context_level,attempt,iterations,functional,no_regressions,constraints_met,overall,failure_type,branch,commit,notes
2026-07-05T17:47:26Z,RW-01,cursor,minimum,1,2,pass,pass,pass,pass,,experiments/cursor/RW-01-attempt-1,ce690fe,"It took three iterations, where the after the first prompt, it asked to apply the changes to the other affected files, and after the second prompt, it asked to remove the redundanct lines in the home.html."
2026-07-05T18:46:01Z,RW-02,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/RW-02-attempt-1,e3cdc1b,"iteration1: it was fixed in one trial, and it suprsingly used a python code execution to do so, instead of actual the normal code changes block, where I have to accept or decline changes, the changes were fixing import levels"
2026-07-05T19:12:24Z,RW-03,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/RW-03-attempt-1,17f5004,"iteration1: it fixed all the affected files in one go."
2026-07-05T19:28:44Z,RW-04,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/RW-04-attempt-1,38c12c2,""
2026-07-05T19:42:26Z,RW-05,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/RW-05-attempt-1,3894b67,"it explored only the home.html and home.js to fix the problem"
2026-07-05T19:59:21Z,RW-06,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/RW-06-attempt-1,e04029d,"the error message styles weren't well styled."
2026-07-06T17:12:58Z,RW-07,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/RW-07-attempt-1,ff584ae,"the agent didn't expose next, prev, and goTo functions, it did it in a different way complaetely"
2026-07-06T17:54:31Z,RW-08,cursor,minimum,1,2,pass,pass,pass,pass,,experiments/cursor/RW-08-attempt-1,a0417e6,"it passed correctly"
2026-07-08T00:27:03Z,LCB-01,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/LCB-01-attempt-1,3a813ba,unknown,""
2026-07-08T00:36:49Z,LCB-02,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/LCB-02-attempt-1,a218308,unknown,"ran successfully"
2026-07-08T00:53:11Z,LCB-03,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/LCB-03-attempt-1,100a19c,"as the problem gets harder, the ai tool takes longer to come up a solution, and it even searches online, an recogizes that it's a leetcode problem",""
2026-07-08T01:02:20Z,LCB-04,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/LCB-04-attempt-1,1a35efe,unknown,""
2026-07-08T01:08:10Z,LCB-05,cursor,minimum,1,1,pass,pass,pass,pass,,experiments/cursor/LCB-05-attempt-1,2b75b3b,unknown,""
